|-           |88.1  MHz |FM |201 |DA  |                    |C3 |-  |AMD    |ROCHESTER                |MN |US |0000167674          |20.5   kW |20.5   kW |102.0   |102.0   |767527     |N |44 |0  |24.2  |W |92  |43 |7.0   |ONE DAY CHURCH PROJECT, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |473.   m|473.0  m|-         |0.      |1210413 |       m|167674    |25076f91801fe91a0180393af1b30b5e   |25076f91801fe91a0180393af20c0b6b   |
|KVSC        |88.1  MHz |FM |201 |ND  |H                   |C2 |-  |LIC    |ST. CLOUD                |MN |US |BLED-19921103KB     |-      kW |16.5   kW |0.0     |136.0   |62112      |N |45 |30 |59.8  |W |94  |13 |52.9  |ST. CLOUD STATE UNIVERSITY                                                  |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|463.   m|-         |-       |-       |       m|199211032 |947bd30e95404c54af28c1b6063ebeb7   |29abc1094b0e4adfbfa8c1b6063ebeb7   |
|KRLP        |88.1  MHz |FM |201 |ND  |                    |A  |-  |LIC    |WINDOM                   |MN |US |BLED-20131112CBA    |0.6    kW |0.6    kW |118.0   |118.0   |91900      |N |43 |53 |2.8   |W |95  |10 |57.0  |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |555.   m|555.0  m|-         |-       |1031881 |       m|201311123 |c25c3aa3fdbe4db6aad9c1b6063ebeb7   |283ca77f986a4be39ccfc1b6063ebeb7   |
|KBPN        |88.3  MHz |FM |202 |ND  |                    |C3 |-  |LIC    |BRAINERD                 |MN |US |BLED-20030722ACJ    |5.     kW |5.     kW |204.0   |204.0   |92068      |N |46 |25 |20.9  |W |94  |27 |42.0  |MINNESOTA PUBLIC RADIO                                                      |   0.00 km |   0.00 mi |  0.00 deg |597.   m|597.0  m|-         |-       |1024193 |       m|200307223 |36711f80fad94805b8dac1b6063ebeb7   |26e6034579f14e29a642c1b6063ebeb7   |
|KWHH        |88.3  MHz |FM |202 |ND  |                    |A  |-  |LIC    |FAIRMONT                 |MN |US |0000259034          |.25    kW |.25    kW |7.0     |7.0     |768723     |N |43 |40 |04.7  |W |094 |26 |53.9  |WE HAVE THIS HOPE CHRISTIAN RADIO, INC.                                     |   0.00 km |   0.00 mi |  0.00 deg |362.   m|362.0  m|-         |-       |-       |       m|259034    |25076f91932b0c78019340c9f6310d1c   |25076f91932b0c78019340c9f8870d2a   |
|KJCL        |88.3  MHz |FM |202 |ND  |                    |A  |-  |LIC    |FERGUS FALLS             |MN |US |0000221269          |0.5    kW |0.5    kW |17.0    |17.0    |766415     |N |46 |14 |20.5  |W |096 |02 |23.6  |WE HAVE THIS HOPE CHRISTIAN RADIO, INC.                                     |   0.00 km |   0.00 mi |  0.00 deg |394.   m|394.0  m|-         |-       |-       |       m|221269    |25076ff38aaf80cc018abe196f4c07b5   |25076ff38aaf80cc018abe196fa307c3   |
|WEQH        |88.3  MHz |FM |202 |ND  |                    |A  |-  |MOD    |HARMONY                  |MN |US |0000249116          |2.2    kW |2.2    kW |91.0    |91.0    |768698     |N |43 |26 |59    |W |91  |51 |43.2  |THE SALVATION POEM FOUNDATION, INC.                                         |   0.00 km |   0.00 mi |  0.00 deg |449.   m|449.0  m|-         |-       |1285203 |       m|249116    |25076ff38df1fd42018df805c1341113   |25076ff38df1fd42018df805c1aa1121   |
|K202EO      |88.3  MHz |FX |202 |ND  |                    |D  |-  |LIC    |HIBBING                  |MN |US |0000216775          |0.027  kW |0.027  kW |0.0     |0.0     |49769      |N |47 |28 |55.6  |W |92  |53 |56.7  |UNIVERSITY OF NORTHWESTERN-ST. PAUL                                         |   0.00 km |   0.00 mi |  0.00 deg |507.   m|507.0  m|-         |-       |-       |       m|216775    |25076f9188b6fae10188bb92419a0230   |25076f9188b6fae10188bb9242210237   |
|KITF        |88.3  MHz |FM |202 |ND  |H                   |A  |-  |LIC    |INTERNATIONAL FALLS      |MN |US |BMLED-20130214ACA   |5.8    kW |5.8    kW |47.0    |47.0    |122662     |N |48 |28 |23.8  |W |93  |19 |59.5  |MINNESOTA PUBLIC RADIO                                                      |   0.00 km |   0.00 mi |  0.00 deg |397.   m|397.0  m|-         |-       |1278979 |       m|201302141 |41f00a7e66fa4e4290a2c1b6063ebeb7   |1927426929ad497586e0c1b6063ebeb7   |
|-           |88.3  MHz |FM |202 |DA  |                    |A  |-  |AMD    |MEDFORD                  |MN |US |0000167197          |0.4    kW |0.4    kW |58.0    |58.0    |768430     |N |44 |12 |44.4  |W |93  |20 |17.4  |PARK PUBLIC RADIO, INC.                                                     |   0.00 km |   0.00 mi |  0.00 deg |398.   m|398.0  m|-         |0.      |1023465 |       m|167197    |25076f91801fe91a01802f023d080a53   |25076f91801fe91a01802f023d770a5d   |
|KJTS        |88.3  MHz |FM |202 |ND  |                    |A  |-  |LIC    |NEW ULM                  |MN |US |BLED-20100511ABT    |2.4    kW |2.4    kW |29.0    |29.0    |90944      |N |44 |16 |6.8   |W |94  |26 |21.8  |MINN-IOWA CHRISTIAN BROADCASTING, INC.                                      |   0.00 km |   0.00 mi |  0.00 deg |327.   m|327.0  m|-         |-       |-       |       m|201005110 |dad4c522f8834756bc71c1b6063ebeb7   |ec85ab738e0b49f1949fc1b6063ebeb7   |
|KTGT        |88.3  MHz |FM |202 |ND  |                    |A  |-  |LIC    |THIEF RIVER FALLS        |MN |US |0000221859          |.5     kW |.5     kW |9.0     |9.0     |766417     |N |48 |6  |50    |W |096 |10 |24.6  |WE HAVE THIS HOPE CHRISTIAN RADIO, INC.                                     |   0.00 km |   0.00 mi |  0.00 deg |350.   m|350.0  m|-         |-       |-       |       m|221859    |25076f918ad38b05018af66b84090c57   |25076f918ad38b05018af66b84630c65   |
|-           |88.3  MHz |FM |202 |DA  |                    |C2 |-  |AMD    |TWO HARBORS              |MN |US |0000167420          |20.    kW |20.    kW |165.0   |165.0   |764466     |N |47 |12 |44    |W |91  |42 |12    |TWO HARBORS COMMUNITY RADIO                                                 |   0.00 km |   0.00 mi |  0.00 deg |625.   m|625.0  m|-         |0.      |1284926 |       m|167420    |25076f917f6bce4b017f6f03fa2d0065   |25076f917f6bce4b017f6f03fcc50073   |
|-           |88.3  MHz |FM |202 |DA  |                    |A  |-  |AMD    |VIRGINIA                 |MN |US |0000167200          |0.1    kW |0.1    kW |125.0   |125.0   |768432     |N |47 |29 |20    |W |92  |31 |12    |PARK PUBLIC RADIO, INC.                                                     |   0.00 km |   0.00 mi |  0.00 deg |575.   m|575.0  m|-         |0.      |-       |       m|167200    |25076f917d9743a4017da2e3d56809f5   |25076f917d9743a4017da2e3d5da09ff   |
|KJGT        |88.3  MHz |FM |202 |DA  |                    |C3 |-  |LIC    |WACONIA                  |MN |US |BLED-20120314ADL    |11.    kW |11.    kW |86.0    |86.0    |172741     |N |44 |47 |19.9  |W |93  |54 |27.9  |MINN-IOWA CHRISTIAN BROADCASTING, INC.                                      |   0.00 km |   0.00 mi |  0.00 deg |385.   m|385.0  m|-         |0.      |1225419 |       m|201203142 |a4dd59f7230842db929ec1b6063ebeb7   |e1085bd21fba4464809cc1b6063ebeb7   |
|KRSU        |88.5  MHz |FM |203 |ND  |H                   |C2 |-  |LIC    |APPLETON                 |MN |US |BLED-19970131KC     |34.    kW |34.    kW |172.0   |172.0   |42981      |N |45 |10 |2.9   |W |96  |0  |3.2   |MINNESOTA PUBLIC RADIO                                                      |   0.00 km |   0.00 mi |  0.00 deg |479.   m|479.0  m|-         |-       |1031878 |       m|199701317 |1e199415337d4470b7e2c1b6063ebeb7   |fe6e9b29e69c4e4fa825c1b6063ebeb7   |
|KCRB-FM     |88.5  MHz |FM |203 |ND  |H                   |C1 |-  |LIC    |BEMIDJI                  |MN |US |BLED-20030429AAO    |83.    kW |83.    kW |301.0   |301.0   |42970      |N |47 |42 |20.8  |W |94  |29 |9.9   |MINNESOTA PUBLIC RADIO                                                      |   0.00 km |   0.00 mi |  0.00 deg |720.   m|720.0  m|-         |-       |1235156 |       m|200304293 |3dedf28988424154a8bcc1b6063ebeb7   |349c21d3528d47b09b64c1b6063ebeb7   |
|KCRB-FM     |88.5  MHz |FS |203 |ND  |H                   |C1 |-  |LIC    |BEMIDJI                  |MN |US |BXLED-20131230AMP   |33.    kW |33.    kW |231.0   |231.0   |42970      |N |47 |42 |20.8  |W |94  |29 |9.9   |MINNESOTA PUBLIC RADIO                                                      |   0.00 km |   0.00 mi |  0.00 deg |650.   m|650.0  m|-         |-       |1235156 |       m|201312301 |2d57f17c0a994451b21ec1b6063ebeb7   |c74ae8e3a620401bb1d3c1b6063ebeb7   |
|WGRH        |88.5  MHz |FM |203 |ND  |H                   |A  |-  |LIC    |HINCKLEY                 |MN |US |BMLED-20131219ANE   |1.3    kW |1.3    kW |128.7   |128.7   |172640     |N |46 |1  |28.0  |W |93  |1  |22.0  |MINNESOTA PUBLIC RADIO                                                      |   0.00 km |   0.00 mi |  0.00 deg |451.7  m|451.7  m|-         |-       |1025210 |       m|201312191 |70d15a8a08f944ffbd38c1b6063ebeb7   |eb74f9e5b2a247edb54fc1b6063ebeb7   |
|KBEM-FM     |88.5  MHz |FM |203 |DA  |                    |A  |-  |LIC    |MINNEAPOLIS              |MN |US |BLED-19981022KA     |2.9    kW |2.9    kW |146.0   |146.0   |4275       |N |44 |59 |53.9  |W |93  |11 |18.8  |BOARD OF EDUCATION, SPECIAL SCHOOL DISTRICT #1                              |   0.00 km |   0.00 mi |  0.00 deg |413.   m|413.0  m|-         |0.      |1024866 |       m|199810228 |31f7ed5ab1fc401f8d3cc1b6063ebeb7   |40811d2c364c4d11b06fc1b6063ebeb7   |
|K203BR      |88.5  MHz |FX |203 |ND  |                    |D  |-  |LIC    |WINONA                   |MN |US |BLFT-19940912TB     |0.062  kW |0.062  kW |122.0   |122.0   |20570      |N |44 |2  |30.8  |W |91  |40 |47.5  |FAITH SOUND, INC.                                                           |   0.00 km |   0.00 mi |  0.00 deg |409.   m|409.0  m|-         |-       |-       |       m|199409124 |db9b729ba7874db1a10bc1b6063ebeb7   |4782ba175dd640c486c4c1b6063ebeb7   |
|-           |88.7  MHz |FM |204 |ND  |                    |A  |-  |AMD    |AITKIN                   |MN |US |0000167203          |5.     kW |5.     kW |100.0   |100.0   |768526     |N |46 |27 |45.0  |W |93  |44 |15.0  |PARK PUBLIC RADIO, INC.                                                     |   0.00 km |   0.00 mi |  0.00 deg |482.   m|482.0  m|-         |-       |1023809 |       m|167203    |25076f917ce2e04b017d05b64a35644d   |25076f917ce2e04b017d05b64a7c6457   |
|K204ES      |88.7  MHz |FX |204 |DA  |                    |D  |-  |LIC    |BRAINERD                 |MN |US |BLFT-20170601AAB    |-      kW |0.08   kW |0.0     |0.0     |92001      |N |46 |19 |19.9  |W |94  |9  |45.0  |CSN INTERNATIONAL                                                           |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|419.   m|-         |0.      |1022695 |       m|201706017 |f854e68190154d33891bc1b6063ebeb7   |ef5e4ac2fc7948ca86dcc1b6063ebeb7   |
|WUSG-LP     |88.7  MHz |FL |204 |ND  |                    |LP1|-  |LIC    |CAMBRIDGE                |MN |US |BLL-20050316AAA     |0.1    kW |0.1    kW |17.3    |0.0     |127133     |N |45 |33 |17.8  |W |93  |13 |31.8  |CAMBRIDGE ADVENTIST BROADCASTING CORPORATION                                |   0.00 km |   0.00 mi |  0.00 deg |306.   m|0.0    m|-         |-       |-       |       m|200503160 |69838f38e5b64c389d62c1b6063ebeb7   |3c216a8d84ae484881c9c1b6063ebeb7   |
|WMLS        |88.7  MHz |FM |204 |ND  |H                   |C3 |-  |LIC    |GRAND MARAIS             |MN |US |BLED-20020411AAK    |6.     kW |6.     kW |194.0   |194.0   |92306      |N |47 |46 |3.6   |W |90  |20 |47.4  |MINNESOTA PUBLIC RADIO                                                      |   0.00 km |   0.00 mi |  0.00 deg |537.   m|537.0  m|-         |-       |1061466 |       m|200204112 |699e4188744840c498d7c1b6063ebeb7   |ec0c3b6d461e45bb85a2c1b6063ebeb7   |
|WHPJ        |88.7  MHz |FM |204 |ND  |                    |A  |-  |LIC    |HIBBING                  |MN |US |BLED-20101101AAS    |6.     kW |6.     kW |41.0    |41.0    |175394     |N |47 |25 |53.7  |W |92  |56 |33.6  |WE HAVE THIS HOPE CHRISTIAN RADIO, INC.                                     |   0.00 km |   0.00 mi |  0.00 deg |485.   m|485.0  m|-         |-       |-       |       m|201011010 |e6ab376a8c2f4d828ecbc1b6063ebeb7   |1dedd97e48f84b94aeb3c1b6063ebeb7   |
|-           |88.7  MHz |FM |204 |DA  |                    |C1 |-  |NCECP  |MANKATO                  |MN |US |0000167673          |54.    kW |54.    kW |83.0    |83.0    |767545     |N |44 |18 |30.6  |W |93  |55 |52.4  |ONE DAY CHURCH PROJECT, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |374.   m|374.0  m|-         |0.      |1210658 |       m|167673    |25076ff37ce2da1c017ce4a45fe0026e   |25076f917ce2e04b017d05db081c68a2   |
|KMSE        |88.7  MHz |FM |204 |ND  |H                   |A  |-  |LIC    |ROCHESTER                |MN |US |BLED-20100930AAJ    |0.85   kW |0.85   kW |170.9   |170.9   |83876      |N |44 |2  |28.0  |W |92  |20 |26.0  |MINNESOTA PUBLIC RADIO                                                      |   0.00 km |   0.00 mi |  0.00 deg |521.8  m|521.8  m|-         |-       |1029133 |       m|201009300 |6cdd86a248b64c6382bfc1b6063ebeb7   |0e227f3ae69f47b6adf7c1b6063ebeb7   |
|KMSE        |88.7  MHz |FS |204 |ND  |H                   |A  |-  |LIC    |ROCHESTER                |MN |US |BXLED-20140319ACA   |0.27   kW |0.27   kW |220.0   |220.0   |83876      |N |44 |2  |27.9  |W |92  |20 |25.6  |MINNESOTA PUBLIC RADIO                                                      |   0.00 km |   0.00 mi |  0.00 deg |572.   m|572.0  m|-         |-       |1029133 |       m|201403191 |35eaa160924b4df2b251c1b6063ebeb7   |911997a25a06410a8b11c1b6063ebeb7   |
|K204EL      |88.7  MHz |FX |204 |ND  |                    |D  |-  |LIC    |WARROAD                  |MN |US |BLFT-20001113ABD    |0.249  kW |0.249  kW |-11.0   |0.0     |6435       |N |48 |53 |58.9  |W |95  |24 |57.8  |HEARTLAND CHRISTIAN BROADCASTERS, INC.                                      |   0.00 km |   0.00 mi |  0.00 deg |378.   m|378.0  m|-         |-       |-       |       m|200011130 |83838fec6c644a4a8a87c1b6063ebeb7   |14ca722e47cc4e7f9fa2c1b6063ebeb7   |
|KNSR        |88.9  MHz |FM |205 |ND  |H                   |C1 |-  |LIC    |COLLEGEVILLE             |MN |US |BMLED-20140617AAJ   |100.   kW |100.   kW |222.0   |222.0   |42938      |N |45 |29 |50.9  |W |94  |32 |16.0  |MINNESOTA PUBLIC RADIO                                                      |   0.00 km |   0.00 mi |  0.00 deg |581.   m|581.0  m|-         |-       |1024632 |       m|201406171 |52058090dc4d4835b924c1b6063ebeb7   |6c088648cc664de0b6b7c1b6063ebeb7   |
|KNSR        |88.9  MHz |FS |205 |ND  |H                   |C1 |-  |LIC    |COLLEGEVILLE             |MN |US |BXLED-20140811AAO   |18.    kW |18.    kW |184.0   |184.0   |42938      |N |45 |29 |50.9  |W |94  |32 |16.0  |MINNESOTA PUBLIC RADIO                                                      |   0.00 km |   0.00 mi |  0.00 deg |543.   m|543.0  m|-         |-       |1024632 |       m|201408111 |ac98e409f9d748ed9ad8c1b6063ebeb7   |5e292cb2bdf94344a9d2c1b6063ebeb7   |
|WQRN        |88.9  MHz |FM |205 |DA  |                    |C3 |-  |LIC    |COOK                     |MN |US |BLED-20091020AAS    |16.    kW |16.    kW |70.0    |70.0    |172378     |N |47 |53 |8.7   |W |92  |39 |47.6  |VCY AMERICA INC.                                                            |   0.00 km |   0.00 mi |  0.00 deg |484.   m|484.0  m|-         |0.      |1059244 |       m|200910209 |ec3f8925c031427ea5d3c1b6063ebeb7   |8b9a65116a5b40009f47c1b6063ebeb7   |
|K201IX      |88.9  MHz |FX |205 |ND  |                    |D  |-  |MOD    |GRAND RAPIDS             |MN |US |0000186628          |0.25   kW |0.25   kW |0.0     |0.0     |140253     |N |47 |13 |5.5   |W |93  |32 |50.8  |UNIVERSITY OF NORTHWESTERN-ST. PAUL                                         |   0.00 km |   0.00 mi |  0.00 deg |457.9  m|457.9  m|-         |-       |1224837 |       m|186628    |25076f917f6bce4b017f8941f9e7055d   |25076f917f6bce4b017f8941fa620564   |
|K201IX      |88.9  MHz |FX |205 |ND  |                    |D  |-  |MOD    |GRAND RAPIDS             |MN |US |0000267958          |0.25   kW |0.25   kW |0.0     |0.0     |140253     |N |47 |14 |22.8  |W |93  |34 |34.7  |UNIVERSITY OF NORTHWESTERN-ST. PAUL                                         |   0.00 km |   0.00 mi |  0.00 deg |425.   m|425.0  m|-         |-       |-       |       m|267958    |25076f91958c4242019595ced3ab02cd   |25076f91958c4242019595ced5c702d3   |
|WGZS        |89.1  MHz |FM |206 |ND  |                    |C2 |-  |STA    |CLOQUET                  |MN |US |0000235988          |50.    kW |50.    kW |135.0   |135.0   |172280     |N |46 |50 |10.8  |W |92  |42 |8.7   |FOND DU LAC BAND OF LAKE SUPERIOR CHIPPEWA                                  |   0.00 km |   0.00 mi |  0.00 deg |536.   m|536.0  m|-         |-       |1221128 |       m|235988    |25076f918d319bbb018d31f824d10037   |25076f918d319bbb018d31f82546003d   |
|WGZS        |89.1  MHz |FM |206 |ND  |                    |C2 |-  |LIC    |CLOQUET                  |MN |US |BLED-20110907ABL    |50.    kW |50.    kW |135.0   |135.0   |172280     |N |46 |50 |10.8  |W |92  |42 |8.7   |FOND DU LAC BAND OF LAKE SUPERIOR CHIPPEWA                                  |   0.00 km |   0.00 mi |  0.00 deg |536.   m|536.0  m|-         |-       |1221128 |       m|201109071 |ce675c4a0b134b30bc9dc1b6063ebeb7   |d9916f5647a14291951ac1b6063ebeb7   |
|KJRX        |89.1  MHz |FM |206 |DA  |                    |A  |-  |LIC    |DELHI                    |MN |US |0000262547          |0.2    kW |0.2    kW |67.0    |67.0    |762424     |N |44 |32 |28.0  |W |95  |10 |59.0  |MINN-IOWA CHRISTIAN BROADCASTING, INC.                                      |   0.00 km |   0.00 mi |  0.00 deg |380.   m|380.0  m|-         |0.      |1009336 |       m|262547    |25076f9193dc19de019418302ad11fbf   |25076f9193dc19de019418302d431fce   |
|WKEK        |89.1  MHz |FM |206 |ND  |                    |A  |-  |LIC    |GUNFLINT LAKE            |MN |US |BLED-20110505ABU    |1.     kW |1.     kW |79.0    |79.0    |176648     |N |48 |4  |39.6  |W |90  |45 |34.3  |COOK COUNTY COMMUNITY RADIO CORPORATION                                     |   0.00 km |   0.00 mi |  0.00 deg |613.   m|613.0  m|-         |-       |-       |       m|201105051 |6ec1256e63e546cb87aec1b6063ebeb7   |652d381bab354fc0b745c1b6063ebeb7   |
|KNNZ        |89.1  MHz |FM |206 |DA  |                    |C1 |-  |LIC    |HAWLEY                   |MN |US |BLED-20130521AFM    |-      kW |100.   kW |0.0     |81.2    |175796     |N |46 |38 |27.9  |W |96  |17 |48.2  |PIONEER PUBLIC BROADCASTING COMPANY, INC.                                   |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|443.7  m|-         |0.      |1273938 |       m|201305213 |2c87e785c1e540868908c1b6063ebeb7   |1e4965df1e084d93bdf4c1b6063ebeb7   |
|K206DI      |89.1  MHz |FX |206 |ND  |                    |D  |-  |LIC    |MANKATO                  |MN |US |BLFT-20120913ACE    |0.25   kW |0.25   kW |62.3    |0.0     |49354      |N |44 |7  |39.9  |W |94  |2  |3.8   |UNIVERSITY OF NORTHWESTERN - ST. PAUL                                       |   0.00 km |   0.00 mi |  0.00 deg |350.   m|350.0  m|-         |-       |1241428 |       m|201209132 |8bd2f4d4804646578a74c1b6063ebeb7   |1530941fde3b44fd9802c1b6063ebeb7   |
|K206EF      |89.1  MHz |FX |206 |ND  |                    |D  |-  |LIC    |MONTEVIDEO               |MN |US |BLFT-20091007ABD    |0.181  kW |0.181  kW |98.3    |0.0     |148965     |N |44 |48 |16.8  |W |95  |30 |37.1  |MINNESOTA PUBLIC RADIO                                                      |   0.00 km |   0.00 mi |  0.00 deg |407.   m|407.0  m|-         |-       |1248524 |       m|200910079 |a00d8177c7ad41f59d5fc1b6063ebeb7   |bf43f1a3a3e64a36bb29c1b6063ebeb7   |
|KVCS        |89.1  MHz |FM |206 |DA  |                    |C3 |-  |LIC    |SPRING VALLEY            |MN |US |BLED-20101217AAQ    |12.    kW |12.    kW |138.0   |138.0   |172375     |N |43 |38 |33.9  |W |92  |31 |35.6  |VCY AMERICA, INC.                                                           |   0.00 km |   0.00 mi |  0.00 deg |549.   m|549.0  m|-         |20.     |1063897 |       m|201012170 |a0cf20b063964ea0bd69c1b6063ebeb7   |436c05180a2944019e5cc1b6063ebeb7   |
|KSJM        |89.1  MHz |FM |206 |ND  |                    |A  |-  |LIC    |ST. JAMES                |MN |US |BLED-20110927ADK    |1.     kW |1.     kW |20.0    |20.0    |176979     |N |43 |58 |1.8   |W |94  |39 |17.9  |CHRISTIAN MINISTRIES OF THE VALLEY, INC.                                    |   0.00 km |   0.00 mi |  0.00 deg |358.   m|358.0  m|-         |-       |1024306 |       m|201109271 |0252702dc58b4cae9577c1b6063ebeb7   |36908dbcb2fb435b8e1dc1b6063ebeb7   |
