,KLKX-LP,KSWJ,KULO,KCLD-FM,KNSI
KLKX-LP,0.0,130.82354557495685,371.4654339069275,9802.666475602455,9884.939944759706
KSWJ,130.82354557495685,0.0,361.7442261003752,9694.36105239614,9779.626165652568
KULO,371.4654339069275,361.7442261003752,0.0,9524.509910650686,9597.170136175331
KCLD-FM,9802.666475602455,9694.36105239614,9524.509910650686,0.0,265.8192916006585
KNSI,9884.939944759706,9779.626165652568,9597.170136175331,265.8192916006585,0.0
